rank,PetID,tier,proba_slow,y_proba,y_true,Name,Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Quantity,Fee,PhotoAmt,Description
1,e9eeadf82,High,0.5827220482115092,0.41727795178849075,0,Flash,1,24,307,2,2,2,1,1,1,2,1,20,2.0,Met with an accident and fractured 1 leg. She has healed completely long time ago but this limb is dysfunctional. Looking for a forever loving home.
2,de1f49c9d,High,0.5810876470487075,0.4189123529512925,0,Sally,1,6,307,2,4,2,1,1,1,1,1,0,10.0,Sally is very friendly and quite playful. She has a nice coat and good character as well. She feels very happy when she play and run around.
3,745fd19b8,High,0.5809979135965713,0.41900208640342873,0,Pooja,1,24,307,2,1,2,1,1,1,2,1,0,3.0,"Pooja was founded in a horrible state. She was a friendly dog and used to hang around a taman but, one day she was discovered with a broken hind leg. Someone has lured her with some food and beat her up, broke her leg. She was brought to a vet by my husband to get treatment. Pooja is now a disabled dog. She is in a temporary foster home. Pooja is looking for a forever home. She seeks a person who is good with understanding dogs. Because of her disabled condition she currently does not get along quite well with the foster home dogs (maybe they are too active for her). Pooja will do well with a house that has a compound, just for her to have space to walk around. She also comes with a blue cage which she feels safe inside. Please contact Ms. Visha at"
4,7b6629627,High,0.5776944588706294,0.4223055411293706,0,No Named,1,12,307,3,1,2,2,1,3,1,3,0,0.0,The following group of dog was forced to be relocate or chase out of their current shelter due to false complaint made by one of the employee in the working area of a lady I know .
5,77014fe37,High,0.577628524013599,0.42237147598640096,0,Carmen,1,12,307,2,2,2,1,1,1,1,1,0,14.0,"Rescue from BDKL. Carmen is tame & well-behaved. She'll be very friendly if she likes you. She looks more mature compare to previously. More details, pls contact "
6,9981290b2,High,0.577594388207652,0.422405611792348,0,Skippy,1,24,307,2,3,2,1,1,1,1,1,0,3.0,Skippy is a friendly dog who loves other dogs and is great with kids. She is very affectionate but can't walk too far because of a damaged hip. She was found by a friend of ours after being involved in an accident. She is now a healthy female who is fully house trained has been spade and fully vaccinated. We are leaving Malaysia and need to find her a permanent loving home for her. She makes a great family pet.
7,2105b697d,High,0.5770567210034356,0.4229432789965644,1,K-22 Little Tigress,1,24,307,2,1,2,2,1,1,1,1,0,1.0,"She has a lovely tiger marking and nature. Do come to see her :) ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
8,afab70239,High,0.576712523000954,0.42328747699904606,0,Paul,1,9,307,1,1,2,1,1,1,1,1,0,14.0,"Paul was rescue from BDKL, he's such a lovely dog. When i take picture of him, he would stay still and let me take whatever ankle i want :) He follows me every where in the house, he's a good companion and a good guard dog as well."
9,0acd95320,High,0.5763834542149069,0.42361654578509317,0,Wonder,1,39,307,2,2,2,1,1,3,1,1,0,1.0,"A strong will dog, rescued by the road side as Wonder was being knocked & rolled over by a vehicle, hospitalized for a week plus. Speedy recovery but 1 hind leg just slightly crippled. Able to roam around freely. Her eyes always tells a story, good dog anyway."
10,d7dd71467,High,0.5760721715544421,0.4239278284455578,0,Hazel,1,24,307,2,1,2,1,1,1,1,1,0,8.0,"Hazel's size is medium to large, very good-looking and has a shiny coat. She's also a good guardog."
11,d14a86fd4,High,0.5758692336420242,0.42413076635797575,0,Neoh Neoh,1,12,307,2,1,2,1,1,1,1,1,0,1.0,"She is a playful girl,she need a lovely family"
12,f68a56b90,High,0.5758393417912555,0.42416065820874443,0,K-16 Happy,1,24,307,2,2,2,2,3,3,1,1,0,3.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
13,7d7da3838,High,0.5758125553211408,0.4241874446788591,1,,1,24,307,3,1,2,1,2,1,1,2,0,0.0,Please give local dogs a home Actually they are 4 dogs! There are mother n son one more mother n daughter. They are poor doggies! The bad stall complaint there stay here n disturb their business! Suddenly these poor dogs son n daughter missing! Now leave these 2 mother dogs! This mother dogs actually can live happy with their son n daughter! Too bad human being make them live alone! Human make their family broken! These both mothers also got bad history! They also dump by their owner! They also alaways bully n abuse by human! Both of mother dogs though that can live together be best friend! Too bad their dream can not go thru! Someone warning want they die! I get this news not choice i bring them to the vet! Now they are safe! Keep in the vet make me costly a lot hope! you can open your heart to bring them home! Pls give them a chance! They are spayed! Share pls !
14,6220663ba,High,0.5756021146909233,0.42439788530907674,0,Mr Potato,1,8,307,1,1,2,2,1,1,1,1,150,11.0,"Mr Potato is extremely handsome, super friendly, nice, goofy, funny dog. He's a good guard dog (barks loud), but cannot defend the house (he will be friends with anyone!). He's a good friend too all other dogs out there. Even if you already have 6 dogs, he can make it seven for you without much fuss/ trouble. Other dogs usually accept him happily. He is very healthy, strong, very charming, a sweetheart to all. Please adopt him. For serious adopters only.."
15,1ccd49ce2,High,0.5749499327475929,0.4250500672524071,0,K-29 Kina,1,24,307,2,1,2,2,1,1,1,1,0,2.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
16,a6e902691,High,0.57479756353225,0.42520243646774997,0,K-12 Auntie Moca,1,48,307,2,2,2,2,3,3,1,1,0,3.0,"Adopt Auntieeee... ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
17,a6a0b1762,High,0.5746938738054843,0.42530612619451563,1,Dini (Spayed&Vaccinated),1,24,307,2,1,2,1,1,1,1,1,0,5.0,This beautiful girl was rescued from sri kembangan apartment as management called MPSJ and we managed to save her from the pack. She is extremely friendly and is playful! My sister has been feeding her daily and even got her spayed & vaccinated. Please give her a home ASAP and love her! We are also looking for people to foster her at the moment as she is not safe in the condo area.
18,de445d837,High,0.5745716833748848,0.4254283166251151,0,Sandra (L),1,9,307,2,2,2,1,1,1,1,1,0,1.0,"Sandra is a very shy dog but smart and alert. Well behave, doesn't fight and friendly. She don't ask for big house, car or good food. A place for her to run around , a proper meal and a shelter away from the dangers and cruelty is all she need. Pls do not hesitate to call me if you have any queries at"
19,4872c28b4,High,0.5745664469564524,0.4254335530435476,0,,1,36,307,1,1,3,1,3,3,1,4,0,4.0,"These dogs were found abandoned and malnourished They were rescued by a kind soul who has now no place to keep them , being turned out of the kennels he was renting at Jabatan Veterinar, Penang. Please help find them a home or a place where we can keep them and take care of them ona daily basis. The dogs are very friendly and loving. Though the are adult dogs, they are as adaptable as puppies, but are less destructive to your belongings, than puppies."
20,739cd2d34,High,0.5735642619647396,0.4264357380352604,1,Abby,1,156,307,2,1,2,2,1,3,1,1,0,1.0,"Abby is 13 years old. The owner wants her euthanised because he is moving house. Please help to give her a home so that she can live out her natural life. She is healthy, gentle and still active, and has been a pet all her life. She is being boarded now, awaiting euthanasia. The owner has abandoned her. Poor Abby. Please help."
21,cdd7aee45,High,0.5734015090181759,0.4265984909818242,0,Lucky,1,24,307,2,2,2,1,3,3,1,1,0,6.0,"Update: 17/8/12 : Lucky is healthy and cured now, she is absolutely ready for a new home.. Please give her a home if you are looking for a new member for your family.. Today morning i rescued a stray from the senai-de saru highway who was probably an accident victim, she was bleeding and could not walk. I brought her to the vet at Global Pets Sdn Bhd in Nusa Bestari Johor Bahru. The vet there examined her and told me her front leg is broken. This is before the xray examination. They also suspect she might have internal injuries as there was bleeding from anus. But, they said at that moment life threatening issue was brain trauma. They are going to give her 10 doses of medication for head trauma for 3 nights and 4 days before further evaluation. I would really appreciate if someone could foster or adopt her after she is discharged."
22,dfb0b0928,High,0.5731391263483305,0.4268608736516694,0,Sherry,1,12,307,2,2,2,1,1,1,1,1,0,8.0,"Sherry was rescue from BDKL. She's very friendly, good character and has a shinning coat."
23,bbe6ff890,High,0.5730226398983691,0.42697736010163084,0,Courty,1,72,307,2,4,2,2,1,1,1,1,0,9.0,"Courty is named after the food court where she used to live as a stray. She's already 6 years old, healthy and spayed. I have found her when she was 1 year old and never managed to find her a forever home. She is very sensitive and emotional doggie that needs lots of attention and love. She's obedient and quiet. Loves children and people in general. Would be great as a pet for a family with kids. Please, give me a call if you think she would be right dog for you."
24,52f3d0bf9,High,0.5727912862888316,0.4272087137111685,1,K-8 Charley,1,24,307,1,2,2,2,1,1,1,1,0,3.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. The Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's at grandma at emails. """
25,3bef75882,High,0.5727743061352784,0.4272256938647217,1,,1,24,307,3,1,2,1,2,1,1,2,0,2.0,Please give local dogs a home Actually they are 4 dogs! There are mother n son one more mother n daughter. They are poor doggies! The bad stall complaint there stay here n disturb their business! Suddenly these poor dogs son n daughter missing! Now leave these 2 mother dogs! This mother dogs actually can live happy with their son n daughter! Too bad human being make them live alone! Human make their family broken! These both mothers also got bad history! They also dump by their owner! They also alaways bully n abuse by human! Both of mother dogs though that can live together be best friend! Too bad their dream can not go thru! Someone warning want they die! I get this news not choice i bring them to the vet! Now they are safe! Keep in the vet make me costly a lot hope! you can open your heart to bring them home! Pls give them a chance! They are spayed! Share pls !
26,5f5d44f43,High,0.5724896393122383,0.42751036068776166,0,Bongo (need Caretaker),1,36,307,1,1,2,1,2,2,2,1,0,3.0,"I am finding a kind soul who can help care for this dog. He's found with TVT virus, a tumour that can be cured. He'll need to take medicine and chemotherapy injection every Saturday (so far 2 injection done, may needed 4 more depends on condition). All expenses will be covered by me, I can also help on transportation, but need someone help to take care as I am having private issue. Please do let me know if anyone can help. Kindly contact Thanks."
27,b8bf2c090,High,0.5723688958449638,0.4276311041550363,0,Muffin & Cookie (Neutered),1,24,307,2,2,2,2,1,1,1,2,0,21.0,"The stray female dog living below my apartment who the feeder constantly feeds gave birth to four puppies. Two of them were adopted, leaving Muffin and Cookie. Muffin is the one with a furry head. Both Muffin and Cookie are very friendly and healthy as good neighbors always feed them with nutritious pet food, bath them weekly and play with them every day. Also they are dewormed, vaccinated and spayed/neutered. However, some heartless people around this area are constantly hitting them with stick,helmet and even steel chain.Today another waste picker threatened to kill them with mouse powder. The feeder is unable to take care of them anymore. It is best to find them a proper home so that they won't have to wander around the street in future. Your little help means a lot to them. Interested kindly contact me via PM.. The location is Penang island. Transportation to other areas can be arranged. Take them home! Thank you."
28,eb77432cd,High,0.5722685809779119,0.4277314190220881,0,Baby,1,29,307,2,3,2,1,2,3,1,1,0,4.0,"Hello everyone, Her name is baby. She is 2-3 years old. I found her in Sentul Market with injured leg 2months ago. All this while we took care of her till she recover. But now we've been facing problems from neighbour. We can’t take care of her permanently because we already have 3 more adopted dogs at home. I really need someone who can take care and give a safe shelter for baby. She is a very loving, playful and active doggy. Those who interest to adopt her, please PM me. Thank you very much."
29,82905a82e,High,0.5719516207909257,0.4280483792090744,0,K-5 Friendly Fierce Fred,1,24,307,1,2,2,2,3,3,1,1,0,3.0,"Fred plays nice and guards nicely. Come check out Fred. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
30,eea42fc56,High,0.5716781017050127,0.42832189829498735,0,3 Puppies,1,4,307,2,1,2,1,2,2,1,3,0,0.0,Rescued 3 puppies in cheras. Puppies are looking for home... They are beautiful & good. Appreciate if anyone willing to adopt them. Please call Chloe Lim
31,87cf6fd3d,High,0.5716585110961157,0.42834148890388435,1,Don,1,24,307,1,1,2,1,1,1,1,1,0,2.0,"Beautiful timid rescue dog, abused as a puppy needs a patient, loving, caring owner. Kota Damansara area."
32,cc607ef5c,High,0.5710411183822305,0.4289588816177695,0,Huey,1,36,307,1,1,2,1,1,3,1,1,0,8.0,"Huey is a very tame and friendly dog. He loves to walk, run and play with others easily like normal dog. He's looking for people who love him very much."
33,77f9b1470,High,0.5708161788878454,0.42918382111215464,1,K-1  Jorge,1,36,307,1,2,2,2,1,1,1,1,0,5.0,"Jorge is a stout, strong dog yet soft enough on the inside. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer."""
34,72896003b,High,0.5707976500707107,0.4292023499292893,0,Mummy,1,24,307,2,2,2,2,2,1,1,1,0,5.0,"A sweet female dog is looking for her forever home, she would be a good companion, as she is a gentle yet loyal dog. She simply enjoys the pat, this is the time that she would smile happily at you. Please consider giving her a forever home to end her life as stray. Adult dog can just be sweet as puppy, trust me!"
35,979e3f8f7,High,0.5707199731411665,0.42928002685883343,0,Jessie,1,9,307,2,5,2,1,2,1,1,1,0,9.0,"Jessie was found in my residential area. She is too friendly and was following everyone who passes by in a very playful manner. However, not all are tolerant towards dogs. I took her off the streets and now she has been spayed and treated for mild skin problem she had. Jessie is very playful and always active. So, she might need regular walks and it would be better if she has play time. Even better if she has a playmate."
36,6e09bfe1f,High,0.5707061475160966,0.42929385248390345,0,Perky,1,12,307,2,2,1,1,1,1,1,1,0,3.0,"Rescued from the dog pound. Great survivor. Very perky, lovable and friendly."
37,2ea25b63b,High,0.5706935182686433,0.42930648173135666,0,Rosie,1,36,307,2,6,2,1,1,1,1,1,50,5.0,"As we are leaving Malaysia we cannot take two of our three dogs with us, and Rosie is one of them. She came to us two years ago when she was roaming the street, having been abandoned or thrown out by her previous owner. She then decided to adopt us (yep - she waited in front of our gate every day until we took her in) and has since been the reason for many laughs. Even though she must have had bad experiences before she is very trusting and curious and I have never seen her aggressive towards people. She will always try to stay close to one of us. Although she is very alert she rarely barks and is generally very calm. She has learned some commands but needs some additional training to listen really well. Rosie would be ideal for a family with kids as she is very gentle and patient. She is currently living inside the house as well as outside in the garden, so please no small cages or chain for her. Even though we leave the dogs alone during the days she has never chewed or destroyed anything. I hope a new family can give her the life and love she deserves. What this dog lacks in beauty, she makes up in cheerfulness and personality!"
38,be579e6ed,High,0.5705557540678956,0.42944424593210445,0,Minion,1,5,307,2,2,2,1,1,1,1,1,0,26.0,"I found cute obedient Minion abandoned at nearby market.Immediately I brought her back to my place and provide her with food, water, and clean shelter. She is very healthy and playful, especially with people and her dog friends. Hopefully she can find a home and receive the love she deserves. Her location is at Tronoh, Perak but outstation adoption can be arranged. If you think you could be the one, please contact me via PM."
